Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
,Afghanistan,33.0,65.0,-3,2,0,-2,1,2,-5,-10,-12,-12,-1,0,-4,-9,-8,-9,-11,-10,-5,-2,-1,-4,-3,1,-1,-4,-5,-10,-12,-11,-8,-6,-6,0,-8,-8,-8,-9,-6,-4,1,4,5,0,-7,-5,-7,-6,-3,-5,-8,-2,0,1,2,0,1,4,4,3,1,-1,2,3,3,0,-2,-4,0,2,-4,0,0,-2,0,4,6,6,6,8,3,5,9,5,3,4
,Albania,41.1533,20.1683,-3,-6,-5,-5,-2,-7,-9,-10,-6,-5,1,3,3,3,1,0,-1,0,3,0,-5,-5,-5,-2,5,7,7,7,8,5,1,6,6,7,8,2,-3,-4,-1,0,4,8,9,3,4,3,1,1,2,5,4,0,-1,-1,1,5,6,4,3,-1,1,8,8,7,5,4,8,8,7,5,4,7,8,9,8,2,0,1,1,3,5,7,5,2,2,5
,Algeria,28.0339,1.6596,-4,-6,-7,-8,-8,-9,0,-3,-5,-2,-1,1,-1,-1,-1,2,1,-2,-6,-9,-8,-6,-3,-5,-5,0,-4,-1,-8,-17,-14,-12,-2,0,0,-3,-4,-15,-17,-16,-15,-14,-9,3,-3,-5,-6,-6,-2,-6,-7,-10,-10,-9,-2,-7,-14,-14,-9,-11,-16,-21,-13,-8,-8,-13,-6,-9,-12,-11,-8,-5,-8,-14,-18,-16,-14,-11,-10,-10,-3,-4,-14,-7,-1,0
,Andorra,42.5063,1.5218,-6,-5,-5,-3,-11,-5,-5,0,0,0,-12,-16,-14,-12,-9,-2,0,-8,-7,-7,-1,3,3,-1,0,1,-1,0,-3,4,5,2,3,1,0,-15,-14,-13,-5,0,3,2,2,4,0,0,-3,0,-2,-7,-10,-8,-13,-9,-9,-6,-4,-1,3,3,3,0,-2,1,4,-4,-4,-2,-1,3,-3,3,8,5,5,5,7,6,2,0,0,3,4,1,0,-3
,Angola,-11.2027,17.8739,19,20,19,20,18,19,19,19,19,19,17,16,15,19,17,18,19,19,16,18,19,20,19,20,19,19,18,19,18,18,19,18,19,18,18,18,16,19,18,19,19,18,18,17,19,20,18,17,18,19,19,19,19,19,19,19,20,19,19,17,16,16,17,17,18,18,17,19,20,19,20,19,19,19,19,18,19,18,17,17,19,18,17,19,18,19
,Antigua and Barbuda,17.0608,-61.7964,22,22,22,21,21,21,20,21,22,21,21,21,21,20,21,20,20,21,21,21,21,20,20,21,22,21,21,20,21,21,21,21,21,21,20,20,21,21,21,20,21,20,20,21,20,21,21,21,21,20,20,19,20,20,19,21,21,21,20,20,21,20,19,20,21,20,20,20,19,19,20,20,20,21,20,20,19,19,21,20,20,20,21,21,21,20
,Argentina,-38.4161,-63.6167,16,13,9,11,14,10,0,-1,8,-3,-1,0,5,12,5,-12,-10,-5,6,7,10,9,9,13,6,1,1,0,6,2,-2,2,9,4,15,17,10,18,13,13,7,4,4,10,16,4,-2,0,10,0,-3,-4,3,3,7,2,1,0,0,5,9,8,6,7,4,8,13,10,-4,3,9,17,14,17,-1,4,7,16,13,6,2,8,12,12,10,10
,Armenia,40.0691,45.0382,-10,-10,-9,-8,-10,-12,-11,-11,-9,-11,-14,-11,-11,-14,-14,-12,-12,-16,-10,-11,-13,-14,-12,-15,-18,-14,-13,-12,-10,-9,-7,-8,-13,-11,-9,-7,-4,-4,-6,-18,-20,-21,-16,-12,-16,-16,-10,-8,-8,-6,-4,-5,-5,-4,-4,-7,-17,-12,-9,-4,-3,-5,-6,-9,-10,-9,-4,-2,-7,-13,-6,-2,-2,0,0,0,-1,-1,-3,-3,-4,-5,-7,-3,-1,-2
Australian Capital Territory,Australia,-35.4735,149.0124,5,8,10,7,13,14,15,16,15,15,13,10,9,13,15,16,15,14,14,15,12,10,7,6,11,9,11,9,13,10,9,13,16,4,1,10,14,14,14,13,17,17,17,18,18,18,16,17,17,9,9,12,13,14,14,14,11,5,5,12,10,8,13,14,16,16,13,12,11,11,12,11,11,7,4,8,9,9,11,8,9,7,8,10,11,8
New South Wales,Australia,-33.8688,151.2093,16,17,20,18,16,17,20,19,19,20,16,15,16,18,18,20,19,19,19,20,16,20,17,20,21,23,22,22,20,19,22,22,22,19,12,15,18,19,19,20,21,21,21,21,18,18,19,20,21,13,13,15,17,16,18,19,18,15,13,16,19,15,17,19,20,20,16,15,15,14,14,14,14,14,13,15,14,14,15,15,16,16,14,15,17,15
