Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
,Afghanistan,33.0,65.0,9,4,7,7,4,8,6,7,9,7,4,2,1,1,3,3,2,5,6,5,4,6,6,5,6,6,6,6,6,7,6,7,9,5,6,8,8,10,11,11,4,7,7,7,10,11,11,12,12,9,11,11,14,12,13,13,15,12,11,14,16,17,12,14,11,14,13,11,9,8,11,14,16,18,18,15,17,18,18,14,18,16,12,8,13,15
,Albania,41.1533,20.1683,10,9,11,10,9,6,8,10,11,11,10,8,13,13,13,15,13,12,11,11,12,11,13,13,12,12,10,11,10,11,12,16,15,15,16,6,5,7,10,10,10,14,14,16,10,15,16,15,15,15,12,13,12,15,17,19,16,7,8,10,13,17,16,9,12,12,10,12,11,13,16,22,22,20,11,13,17,20,19,21,19,18,6,6,11,14
,Algeria,28.0339,1.6596,16,17,19,21,21,19,18,19,18,17,17,15,17,17,17,17,20,21,23,23,24,26,25,25,25,27,23,22,22,24,26,26,24,24,27,28,23,23,25,25,27,28,27,26,27,27,27,27,25,25,26,27,26,24,25,26,27,27,28,29,30,31,29,29,31,33,24,22,23,25,24,27,29,31,32,30,30,31,31,25,27,29,31,24,25,24
,Andorra,42.5063,1.5218,12,15,11,11,14,14,14,13,12,7,11,13,11,12,12,10,7,8,2,6,9,6,7,8,7,8,9,10,12,12,13,14,17,17,10,12,12,13,12,11,18,14,11,14,16,17,17,15,13,15,17,17,19,21,21,14,9,12,15,14,11,6,6,12,10,4,7,15,8,17,22,19,15,16,16,6,14,16,16,15,14,12,11,13,7,6
,Angola,-11.2027,17.8739,28,27,24,24,26,27,23,23,27,21,20,29,30,27,29,30,29,26,29,29,26,26,29,25,25,26,22,27,22,27,26,25,24,25,25,27,29,27,28,24,28,25,31,31,26,24,25,29,30,25,29,32,25,26,26,30,27,27,29,29,30,31,29,30,29,27,30,28,27,27,25,28,27,24,28,28,27,28,29,29,27,28,29,29,30,23
,Antigua and Barbuda,17.0608,-61.7964,28,28,28,28,27,27,27,28,28,28,27,27,27,27,27,27,27,27,26,26,27,27,27,28,27,27,27,28,27,27,28,28,27,28,28,27,27,27,28,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,26,27,27,27,27,27,27,26,27,27,27
,Argentina,-38.4161,-63.6167,29,29,32,35,31,31,26,32,30,29,28,34,34,27,37,24,27,33,37,40,35,34,37,38,33,33,30,31,33,28,34,36,39,34,35,26,29,26,29,27,27,30,32,35,26,32,35,34,26,30,25,24,24,29,33,27,27,33,35,34,35,39,37,37,37,34,35,34,30,30,30,30,33,33,26,27,29,25,23,28,33,34,33,34,31,27
,Armenia,40.0691,45.0382,-2,-4,-5,-3,-4,-4,-2,-2,-3,-4,-5,-2,-5,-2,-1,-5,-5,-4,-4,-4,-4,-5,-4,-10,-7,-3,-3,-2,-2,-3,-1,-6,-5,-3,-4,-2,0,-1,-4,-14,-13,-12,-9,-7,-9,-4,-2,-5,-1,0,0,-1,0,0,0,-1,-2,3,2,2,0,0,1,4,5,5,4,4,5,5,5,5,5,1,3,1,1,1,0,1,0,0,3,3,3,4
Australian Capital Territory,Australia,-35.4735,149.0124,34,32,34,41,26,23,31,30,26,34,27,23,28,29,29,28,23,25,28,23,26,29,28,27,29,31,32,32,31,35,39,38,32,27,25,28,23,22,20,15,25,26,26,24,26,26,23,23,28,20,23,24,22,25,28,27,25,25,25,26,28,28,21,17,16,23,21,17,19,20,22,23,23,16,19,20,22,25,27,26,22,24,20,19,24,20
New South Wales,Australia,-33.8688,151.2093,24,25,27,37,24,23,28,26,25,28,22,21,25,26,27,28,22,22,24,27,29,29,39,27,28,32,27,29,26,28,30,35,28,31,22,25,24,21,22,22,26,28,25,25,25,26,25,24,29,27,22,24,23,25,26,28,32,24,25,25,28,34,23,25,25,26,23,22,22,23,24,24,24,18,20,21,22,25,29,33,24,27,21,22,24,21
