Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
,Afghanistan,33.0,65.0,0,-1,-1,0,2,-1,-4,-2,-3,0,0,-3,-6,-4,-5,-9,-5,-2,-1,0,-2,-2,0,-1,-4,-3,-7,-7,-5,-4,-4,-3,0,-6,-5,-4,-2,-1,0,1,3,4,1,-1,0,-1,0,1,0,-2,1,3,3,4,2,5,6,4,2,3,4,6,4,3,0,1,-1,2,3,-1,1,2,3,6,9,7,7,7,8,6,7,8,7,3,3,5
,Albania,41.1533,20.1683,-1,0,1,2,0,-1,-1,0,0,2,5,3,2,2,3,1,1,3,1,0,1,0,1,3,6,7,6,8,5,0,5,3,5,5,2,-1,-3,-1,0,1,7,8,2,5,3,1,2,2,5,6,0,1,0,2,6,5,4,2,-1,0,6,8,7,4,3,8,7,6,4,3,5,8,9,10,5,1,3,5,5,7,9,5,1,0,6,7
,Algeria,28.0339,1.6596,2,3,3,5,4,6,6,5,3,3,5,3,4,5,8,6,6,6,10,12,13,9,11,12,14,10,9,6,5,8,9,11,10,10,11,10,8,7,9,11,11,17,13,14,14,14,12,11,8,11,12,13,11,8,10,9,10,11,11,13,14,15,13,13,16,15,9,6,8,10,11,12,13,15,16,14,14,17,12,11,13,15,13,13,9,12
,Andorra,42.5063,1.5218,4,3,0,2,3,4,4,2,2,-1,0,1,0,0,0,1,-1,0,-4,0,2,2,-2,-1,0,-2,-1,-1,0,4,2,3,6,5,-1,0,0,1,-1,2,4,1,3,1,2,3,4,0,0,1,1,4,6,4,4,1,-2,4,3,3,3,-1,1,4,-3,-1,0,1,2,6,9,7,4,4,4,3,4,2,0,0,1,0,2,0,-1,-3
,Angola,-11.2027,17.8739,18,18,18,17,17,18,17,17,17,16,14,15,18,17,16,17,18,18,18,18,18,18,18,17,17,17,17,18,16,17,17,17,17,16,17,16,17,18,17,17,17,16,16,17,18,17,14,17,18,18,17,18,16,18,17,17,17,17,17,17,16,16,16,16,16,15,17,17,18,17,17,18,17,17,17,18,17,16,16,16,17,16,17,16,18,15
,Antigua and Barbuda,17.0608,-61.7964,24,24,24,24,24,23,23,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,22,22,23,22,23,23,22,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,22,22,22,23,23,22,23,23,23,22,23,23
,Argentina,-38.4161,-63.6167,16,16,19,23,15,14,15,18,15,16,14,15,20,19,17,10,11,18,22,21,17,17,22,21,20,19,10,20,13,13,20,19,20,19,19,14,18,15,16,11,11,16,20,17,13,17,17,18,11,18,7,8,7,13,18,11,11,14,15,15,18,23,24,21,22,18,23,17,12,14,17,16,21,14,10,11,19,15,12,10,16,17,21,19,15,9
,Armenia,40.0691,45.0382,-11,-11,-9,-10,-12,-10,-9,-10,-11,-13,-12,-9,-12,-8,-11,-13,-12,-11,-11,-12,-13,-12,-12,-17,-13,-12,-10,-9,-10,-8,-7,-14,-12,-10,-9,-5,-4,-7,-16,-20,-20,-20,-13,-15,-16,-10,-9,-10,-9,-5,-7,-7,-6,-6,-6,-12,-8,-5,-5,-4,-7,-8,-5,-4,-2,-2,-3,-3,-3,-2,-2,0,0,-1,-2,-2,-3,-4,-5,-5,-6,-7,-4,-3,-3,-3
Australian Capital Territory,Australia,-35.4735,149.0124,9,9,16,16,12,14,15,14,14,13,11,8,11,12,16,15,14,12,15,12,11,17,14,12,15,12,15,14,13,18,23,23,12,5,8,14,15,14,13,14,15,15,17,15,15,15,14,14,11,7,12,11,13,12,13,16,10,7,12,11,16,11,13,15,14,12,11,10,8,9,9,8,7,3,6,6,7,11,13,7,8,7,9,11,6,8
New South Wales,Australia,-33.8688,151.2093,19,21,20,20,19,20,21,20,21,19,18,18,19,18,21,20,20,19,19,18,20,21,23,22,21,21,22,21,20,21,23,24,22,17,18,20,19,19,20,20,20,21,21,20,17,20,20,20,20,18,18,18,19,19,20,22,18,17,19,19,20,20,19,22,20,19,17,17,17,16,17,15,17,15,16,16,14,15,18,19,17,17,17,18,17,17
